Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year to be a unicorn,Return on investment
Devo,2,26/10/2021,Data management & analytics,Cambridge,United States,North America,2011,0,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",10,0
ElasticRun,2,07/02/2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,0,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",6,0
Gett,2,24/05/2016,Auto & transportation,London,United Kingdom,Europe,2010,1,"Volkswagen, Access Industries, Vostok New Ventures",6,2
ID.me,2,19/03/2021,Cybersecurity,McLean,United States,North America,2010,0,"Moonshots Capital, BoxGroup, Blu Venture Investors",11,0
impact.com,2,13/07/2021,Internet software & services,Santa Barbara,United States,North America,2008,0,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",13,0
Ledger,2,10/06/2021,Hardware,Paris,France,Europe,2014,1,"Digital Currency Group, Draper Esprit, Korelya Capital",7,2
Lusha,2,10/11/2021,Internet software & services,New York,United States,North America,2016,0,"PSG, ION Crossover Partners",5,0
Matillion,2,15/09/2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,0,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",10,0
MOLOCO,2,29/04/2021,Artificial Intelligence,Redwood City,United States,North America,2013,0,"Smilegate Investment, DSC Investments, KTB Ventures",8,0
Mu Sigma,2,07/02/2013,Data management & analytics,Northbrook,United States,North America,2004,0,"Sequoia Capital, General Atlantic",9,0
Next Silicon,2,14/06/2021,Hardware,Tel Aviv,Israel,Asia,2018,0,"Amiti Ventures, Playground Global, Aleph",3,0
NotCo,2,26/07/2021,Artificial Intelligence,Santiago,Chile,South America,2015,0,"Kaszek Ventures, SOSV, Tiger Global Management",6,0
Olist,2,15/12/2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,0,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",6,0
Pacaso,2,24/03/2021,Fintech,Cincinnati,United States,North America,2020,0,"Global Founders Capital, Shea Ventures, Greycroft",1,0
Paradox,2,27/12/2021,Internet software & services,Scottsdale,United States,North America,2016,0,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",5,0
Persona,2,15/09/2021,Cybersecurity,San Francisco,United States,North America,2018,0,"Coatue Management, Index Ventures, Founders Fund",3,0
SmartRecruiters,2,20/07/2021,Internet software & services,San Francisco,United States,North America,2010,0,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",11,0
Snapdocs,2,25/05/2021,Fintech,San Francisco,United States,North America,2012,0,"Sequoia Capital, Y Combinator, F-Prime Capital",9,0
Solugen,2,10/09/2021,Other,Houston,United States,North America,2016,0,"Fifty Years Fund, Refactor Capital, Temasek",5,0
StoreDot,2,04/01/2022,Other,Herzliya,Israel,Asia,2012,0,"Samsung Ventures, SingulariTeam, BP Ventures",10,0
Strava,2,16/11/2020,Internet software & services,San Francisco,United States,North America,2009,0,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",11,0
Temporal,2,16/02/2022,Internet software & services,Bellevue,United States,North America,2019,0,"Amplify Partners, Addition, Madrona Venture Group",3,0
TuJia,2,17/06/2015,Travel,Beijing,China,Asia,2011,1,"GGV Capital, QiMing Venture Partnersl",4,2
Uplight,2,03/03/2021,Other,Boulder,United States,North America,2019,0,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",2,0
Veho,2,21/12/2021,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,0,"General Catalyst, Origin Ventures, Fontinalis Partners",5,0
Veriff,2,26/01/2022,Artificial Intelligence,Tallinn,Estonia,Europe,2015,0,"Accel, Institutional Venture Partners, Tiger Global Management",7,0
Whatnot,2,16/09/2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,0,"Y Combinator, Andreessen Horowitz, Wonder Ventures",2,0
Zenoti,2,15/12/2020,Internet software & services,Bellevue,United States,North America,2010,0,"Norwest Venture Partners, Accel, Tiger Global Management",10,0
Zeta,2,24/05/2021,Fintech,San Francisco,United States,North America,2015,0,"Sodexo Ventures, SoftBank Group",6,0
Loom,2,20/05/2021,Internet software & services,San Francisco,United States,North America,2016,0,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",5,0
Mobile Premier League,2,15/09/2021,Internet software & services,Bengaluru,India,Asia,2018,0,"Sequoia Capital India, RTP Global, Go-Ventures",3,0
Uala,2,13/08/2021,Fintech,Buenos Aires,Argentina,South America,2017,1,"Soros Fund Management, Ribbit Capital, Monashees+",4,2
Wenheyou,2,17/04/2021,Other,Hunan,China,Asia,2013,0,"Sequoia Capital China, Warburg Pincus, IDG Capital",8,0
Star Charge,2,19/05/2021,Auto & transportation,Changzhou,China,Asia,2014,0,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",7,0
ABL Space Systems,2,25/03/2021,Other,El Segundo,United States,North America,2017,0,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",4,0
Afiniti,2,14/04/2017,Artificial Intelligence,Hamilton,Bermuda,North America,2006,0,GAM Holding,11,0
ASAPP,2,19/05/2021,Artificial Intelligence,New York,United States,North America,2014,0,"March Capital Partners, HOF Capital, Emergence Capital Partners",7,0
BitSight Technologies,2,13/09/2021,Cybersecurity,Boston,United States,North America,2013,0,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",8,0
Cao Cao Mobility,2,17/01/2018,Auto & transportation,Hangzhou,China,Asia,2015,1,"People Electrical Appliance Group China, Zhongrong International Trust",3,2
Capitolis,2,22/03/2022,Fintech,New York,United States,North America,2017,0,"Sequoia Capital, Index Ventures, S Capital",5,0
Carbon,2,20/08/2015,Hardware,Redwood City,United States,North America,2013,1,"Google Ventures, Sequoia Capital, Wakefield Group",2,2
Clio,2,27/04/2021,Internet software & services,Burnaby,Canada,North America,2008,0,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",13,0
Cresta,2,17/03/2022,Artificial Intelligence,San Francisco,United States,North America,2017,0,"Andreessen Horowitz, Greylock Partners, Sequoia Capital",5,0
Exabeam,2,01/06/2021,Cybersecurity,Foster City,United States,North America,2013,0,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",8,0
ezCater,2,02/04/2019,"Supply chain, logistics, & delivery",Boston,United States,North America,2007,0,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",12,0
HomeLight,2,02/09/2021,Fintech,San Francisco,United States,North America,2012,0,"Zeev Ventures, Menlo Ventures,Crosslink Capital",9,0
HoneyBook,2,04/05/2021,Internet software & services,San Francisco,United States,North America,2013,1,"Norwest Venture Partners, Hillsven Capital, Aleph",8,2
Infinidat,2,29/04/2015,Hardware,Waltham,United States,North America,2011,0,"TPG Growth, Goldman Sachs",4,0
Mercury,2,03/07/2021,Fintech,San Francisco,United States,North America,2019,0,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures",2,0
Paxos,2,29/04/2021,Fintech,New York,United States,North America,2012,1,"Liberty City Ventures, RRE Ventures, Mithril Capital Management",9,2
SafetyCulture,2,03/05/2021,Internet software & services,Sydney,Australia,Oceania,2004,0,"Blackbird Ventures, IndexVentures, Tiger Global Management",17,0
SmartHR,2,08/06/2021,Fintech,Tokyo,Japan,Asia,2013,0,"BEENEXT, World Innovation Lab, Light Street Capital",8,0
Tonal,2,31/03/2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2015,1,"Mayfield Fund, Shasta Ventures, L Catterton",6,2
Truepill,2,27/10/2021,Health,Hayward,United States,North America,2016,0,"Initialized Capital, Sound Ventures, TI Platform Management",5,0
Unite Us,2,16/03/2021,Health,New York,United States,North America,2014,0,"Insight Partners, Sequoia Capital, Index Ventures",7,0
Verkada,2,29/01/2020,Cybersecurity,San Mateo,United States,North America,2016,0,"next47, First Round Capital, Sequoia Capital",4,0
Wayflyer,2,01/02/2022,Fintech,Dublin,Ireland,Europe,2019,0,"QED Investors, DST Global, Left Lane Capital",3,0
Zhubajie,2,16/06/2015,Internet software & services,Chongqing,China,Asia,2006,0,"Cybernaut Growth Fund, IDG Capital",9,0
Transcarent,2,11/01/2022,Health,San Francisco,United States,North America,2020,0,"Alta Partners, General Catalyst, Jove Equity Partners",2,0
Trader Interactive,2,12/05/2021,Other,Norfolk,United States,North America,2017,1,Carsales,4,2
Glossier,2,19/03/2019,Consumer & retail,New York,United States,North America,2014,0,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",5,0
Hibob,2,12/10/2021,Internet software & services,Tel Aviv,Israel,Asia,2015,0,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",6,0
Jobandtalent,2,01/12/2021,Internet software & services,Madrid,Spain,Europe,2009,1,"Kibo Ventures, SoftBank Group, Atomico",12,2
Optimism,2,17/03/2022,Internet software & services,San Francisco,United States,North America,2019,0,"Paradigm, Huobi Ventures, Andreessen Horowitz",3,0
solarisBank,2,13/07/2021,Fintech,Berlin,Germany,Europe,2016,0,"Yabeo Capital, SBI Investment, Vulcan Capital",5,0
WEMAKEPRICE,2,09/09/2015,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2009,0,"IMM Investment, NXC",6,0
Alan,2,19/04/2021,Fintech,Paris,France,Europe,2016,0,"Index Ventures, Temasek, Portag3 Ventures",5,0
Biren Technology,2,18/08/2020,Hardware,Shanghai,China,Asia,2019,0,"V FUND, IDG Capital, Green Pine Capital Partners",1,0
Voodoo,2,17/08/2020,Other,Paris,France,Europe,2013,1,"Tencent Holdings, Goldman Sachs",7,2
Carsome,2,12/07/2021,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,2015,1,"Gobi Partners, 500 Startups, Ondine Capital",6,2
CircleCI,2,11/05/2021,Internet software & services,San Francisco,United States,North America,2011,0,"Threshold Ventures, Baseline Ventures, Harrison Metal",10,0
DealShare,2,27/01/2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2018,1,"Alpha Wave Global, Matrix Partners India, Tiger Global Management",4,2
DispatchHealth,2,03/03/2021,Health,Denver,United States,North America,2013,0,"Alta Partners, Questa Capital, Echo Health Venturesl",8,0
Dragos,2,28/10/2021,Cybersecurity,Hanover,United States,North America,2016,0,"DataTribe, Energy Impact Partners, AllegisCyber Capital",5,0
Gousto,2,03/11/2020,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,2012,0,"MMC Ventures, BGF Ventures, Unilever Ventures",8,0
H2O.ai,2,07/11/2021,Artificial Intelligence,Mountain View,United States,North America,2011,0,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners",10,0
Harness,2,14/01/2021,Artificial Intelligence,San Francisco,United States,North America,2016,0,"Menlo Ventures, Alkeon Capital Management, Citi Ventures",5,0
Harry's,2,16/02/2018,Consumer & retail,New York,United States,North America,2013,1,"Thrive Capital, Tiger Global Management, Temasek",5,2
PAX,2,22/10/2018,Consumer & retail,San Francisco,United States,North America,2007,1,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",11,2
Productboard,2,02/02/2022,Internet software & services,San Francisco,United States,North America,2014,0,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners",8,0
Reltio,2,04/11/2021,Data management & analytics,Redwood City,United States,North America,2011,0,"Crosslink Capital, .406 Ventures, Sapphire Ventures",10,0
Spotter,2,16/02/2022,Fintech,Los Angeles,United States,North America,2019,0,"SoftBank Group, Access Industries, Crossbeam Venture Partners",3,0
Vestiaire Collective,2,01/03/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2009,1,"Eurazeo, IDInvest Partners, Balderton Capital",12,2
Wave,2,07/09/2021,Fintech,Dakar,Senegal,Africa,2018,0,"Stripe, Founders Fund, Partech Partners",3,0
ZenBusiness,2,09/11/2021,Fintech,Austin,United States,North America,2015,0,"Greycroft, Lerer Hippeau, Geekdom Fund",6,0
Bowery Farming,2,25/05/2021,Other,New York,United States,North America,2015,1,"Temasek, Google Ventures, General Catalyst",6,2
Greenlight,2,24/09/2020,Fintech,Atlanta,United States,North America,2014,1,"Relay Ventures, TTV Capital, Canapi Ventures",6,2
KeepTruckin,2,23/04/2019,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,0,"Google Ventures, Index Ventures, Scale Venture Partners",6,0
Odoo,2,29/07/2021,Internet software & services,Louvain-la-Neuve,Belgium,Europe,2005,0,"Summit Partners, Noshaq, Sofinnova Partners",16,0
Skydance Media,2,11/02/2020,Other,Santa Monica,United States,North America,2010,0,"RedBird Capital Partners, CJ ENM, Tencent Holdings",10,0
Uptake,2,27/10/2015,Artificial Intelligence,Chicago,United States,North America,2014,0,"Revolution, New Enterprise Associates, Caterpillar",1,0
MoMo,2,10/12/2021,Fintech,Ho Chi Minh City,Vietnam,Asia,2013,0,"Goodwater Capital, Warburg Pincus, GS Growth",8,0
Algolia,2,28/07/2021,Internet software & services,San Francisco,United States,North America,2012,0,"Accel, Alven Capital, Storm Ventures",9,0
Pattern,2,06/10/2021,Internet software & services,Lehi,United States,North America,2013,0,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners",8,0
Spinny,2,24/11/2021,E-commerce & direct-to-consumer,Gurugram,India,Asia,2015,1,"General Catalyst, Eleation Capital, Avenir Growth Capital",6,2
Trulioo,2,07/06/2021,Cybersecurity,Vancouver,Canada,North America,2011,1,"Blumberg Capital, American Express Ventures, BDC Venture Capital",10,2
Zume,2,01/11/2018,Consumer & retail,Mountain View,United States,North America,2015,0,"Softbank Group, AME Cloud Ventures, SignalFire",3,0
AIWAYS,2,16/04/2018,Auto & transportation,Shanghai,China,Asia,2017,1,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",1,2
Bitso,2,05/05/2021,Fintech,Mexico City,Mexico,North America,2014,0,"Pantera Capital, QED Investors, Coinbase Ventures",7,0
BloomReach,2,23/02/2022,Artificial Intelligence,Mountain View,United States,North America,2009,0,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners",13,0
Current,2,27/04/2021,Fintech,New York,United States,North America,2015,0,"Expa, QED Investors, Foundation Capital",6,0
Dialpad,2,06/10/2020,Internet software & services,San Francisco,United States,North America,2011,0,"Andreessen Horowitz, Google Ventures, Section 32",9,0
G7 Networks,2,15/02/2022,"Supply chain, logistics, & delivery",Beijing,China,Asia,2006,1,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners",16,2
Gympass,2,12/06/2019,Internet software & services,New York,United States,North America,2012,1,"General Atlantic, SoftBank Group, Atomico",7,2
MUSINSA,2,11/11/2019,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2001,0,Sequoia Capital,18,0
NuCom Group,2,22/02/2018,Other,Unterfoehring,Germany,Europe,2016,1,General Atlantic,2,2
Reify Health,2,10/08/2021,Health,Boston,United States,North America,2012,0,"Sierra Ventures, Battery Ventures, Asset Management Ventures",9,0
Diamond Foundry,2,29/03/2021,Other,San Francisco,United States,North America,2012,0,"Fashion Tech Lab, Fidelity Investments, Vast Ventures",9,0
FullStory,2,04/08/2021,Internet software & services,Atlanta,United States,North America,2014,0,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group",7,0
Lightricks,2,31/07/2019,Artificial Intelligence,Jerusalem,Israel,Asia,2013,0,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",6,0
Opentrons,2,23/09/2021,Hardware,New York,United States,North America,2016,0,"SOSV, Khosla Ventures, Lerer Hippeau",5,0
ZocDoc,2,20/08/2015,Health,New York,United States,North America,2007,0,"Founders Fund, Khosla Ventures, Goldman Sachs",8,0
Accelerant,2,12/01/2022,Other,Colchester,United Kingdom,Europe,2018,0,"Deer Park Road, Altamont Capital Partners, Eldridge",4,0
Huaqin Telecom Technology,2,08/10/2019,Mobile & telecommunications,Shanghai,China,Asia,2005,0,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital",14,0
Addepar,2,15/06/2021,Fintech,Mountain View,United States,North America,2009,1,"8VC, D1 Capital Partners, Sway Ventures",12,2
YITU Technology,2,08/03/2018,Artificial Intelligence,Shanghai,China,Asia,2012,0,"Sequoia Capital China, Banyan Capital",6,0
CloudWalk,2,08/09/2021,Fintech,Sao Paulo,Brazil,South America,2015,0,"Plug and Play Ventures, Valor Capital Group, DST Global",6,0
Retool,2,22/12/2021,Internet software & services,San Francisco,United States,North America,2000,0,Sequoia Capital,21,0
Volocopter,2,04/03/2022,Auto & transportation,Bruchsal,Germany,Europe,2011,1,"btov Partners, Geely, Intel Capital",11,2
Acorns,2,09/03/2022,Fintech,Irvine,United States,North America,2012,1,"e.ventures, Bain Capital Ventures, Greycroft",10,2
Aledade,2,19/01/2021,Health,Bethesda,United States,North America,2014,0,"Venrock, CVF Capital Partners, ARCH Venture Partners",7,0
CoinSwitch Kuber,2,06/10/2021,Fintech,Bangalore,India,Asia,2017,0,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",4,0
ConcertAI,2,29/03/2022,Artificial Intelligence,Boston,United States,North America,2018,0,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel",4,0
Eightfold.ai,2,27/10/2020,Internet software & services,Santa Clara,United States,North America,2016,0,"Foundation Capital, Institutional Venture Partners, General Catalyst",4,0
FirstCry,2,07/02/2020,E-commerce & direct-to-consumer,Pune,India,Asia,2010,0,"SoftBank Group, SAIF Partners India, Valiant Capital Partners",10,0
Forto,2,21/06/2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2016,1,"Cherry Ventures, Northzone Ventures, Global Founders Capital",5,2
GoCardless,2,08/02/2022,Fintech,London,United Kingdom,Europe,2011,1,"Accel, Passion Capital, Balderton Capital",11,2
InVision,2,01/11/2017,Internet software & services,New York,United States,North America,2011,0,"FirstMark Capital, Tiger Global Management, ICONIQ Capital",6,0
Jeeves,2,14/03/2022,Fintech,Orlando,United States,North America,2019,0,"Tencent Holdings, CRV, Clocktower Technology Ventures",3,0
Medable,2,26/10/2021,Internet software & services,Palo Alto,United States,North America,2013,1,"GSR Ventures, Sapphire Ventures, Streamlined Ventures",8,2
Moveworks,2,30/06/2021,Artificial Intelligence,Mountain View,United States,North America,2016,0,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",5,0
MX Technologies,2,13/01/2021,Fintech,Lehi,United States,North America,2010,1,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures",11,2
PayFit,2,06/01/2022,Fintech,London,United Kingdom,Europe,2016,1,"Accel, frst, Kima Ventures",6,2
ReCharge,2,06/05/2021,Fintech,Los Angeles,United States,North America,2017,0,"ICONIQ Growth, Bain Capital Ventures, Summit Partners",4,0
Roofstock,2,10/03/2022,Fintech,Oakland,United States,North America,2015,0,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners",7,0
Urban Company,2,27/04/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2014,0,"VY Capital, Accel, Elevation Capital",7,0
Rokt,2,16/12/2021,Internet software & services,New York,United States,North America,2012,1,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",9,2
Starling Bank,2,08/03/2021,Fintech,London,United Kingdom,Europe,2014,1,"JTC Group, Qatar Investment Authority, Fidelity Investment",7,2
Ankorstore,2,10/01/2022,E-commerce & direct-to-consumer,Paris,France,Europe,2019,0,"Global Founders Capital, Aglae Ventures, Alven Capital",3,0
4Paradigm,2,19/12/2018,Artificial Intelligence,Beijing,China,Asia,2015,1,"Sequoia Capital China, China Construction Bank, Bank of China",3,2
Advance Intelligence Group,2,23/09/2021,Artificial Intelligence,,Singapore,Asia,2016,1,"Vision Plus Capital, GSR Ventures, ZhenFund",5,2
Aiven,2,18/10/2021,Internet software & services,Helsinki,Finland,Europe,2016,0,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",5,0
Akulaku,2,15/02/2022,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,0,"DCM Ventures, IDG Capital, Siam Commercial Bank",8,0
Apeel Sciences,2,26/05/2020,Other,Goleta,United States,North America,2012,1,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz",8,2
AppsFlyer,2,21/01/2020,Mobile & telecommunications,San Francisco,United States,North America,2011,0,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",9,0
Avant,2,17/12/2012,Artificial Intelligence,Chicago,United States,North America,2012,1,"RRE Ventures, Tiger Global, August Capital",0,2
Aviatrix,2,08/09/2021,Internet software & services,Santa Clara,United States,North America,2014,0,"Ignition Partners, Formation 8, CRV",7,0
BlaBlaCar,2,16/09/2015,Auto & transportation,Paris,France,Europe,2006,0,"Accel Partners, Index Ventures, Insight Venture Partners",9,0
Black Sesame Technologies,2,22/09/2021,Artificial Intelligence,Shanghai,China,Asia,2016,0,"Northern Light Venture Capital, Xiaomi, FutureX Capital",5,0
Bunq,2,18/06/2021,Fintech,Amsterdam,Netherlands,Europe,2013,0,Undisclosed,8,0
Calm,2,06/02/2019,Consumer & retail,San Francisco,United States,North America,2012,0,"Insight Venture Partners, TPG Growth, Sound Ventures",7,0
Chipper Cash,2,31/05/2021,Fintech,San Francisco,United States,North America,2017,0,"Deciens Capital, Bezos Expeditions, 500 Startups",4,0
Clearco,2,20/04/2021,Fintech,Toronto,Canada,North America,2015,0,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",6,0
ClickHouse,2,28/10/2021,Data management & analytics,Portola Valley,United States,North America,2021,0,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",0,0
Clip,2,10/06/2021,Fintech,Mexico City,Mexico,North America,2012,0,"Alta Ventures Mexico, General Atlantic, SoftBank Group",9,0
Cloudinary,2,15/02/2022,Internet software & services,Santa Clara,United States,North America,2011,0,"Blackstone, Bessemer Venture Partners",11,0
Deliverr,2,22/11/2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,1,"8VC, Activant Capital, GLP Capital Partners",4,2
Divvy Homes,2,13/08/2021,Fintech,San Francisco,United States,North America,2017,0,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",4,0
Dremio,2,06/01/2021,Data management & analytics,Santa Clara,United States,North America,2015,0,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",6,0
Druva,2,20/06/2019,Data management & analytics,Sunnyvale,United States,North America,2007,1,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",12,2
Everlaw,2,10/03/2020,Internet software & services,Oakland,United States,North America,2010,0,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",10,0
Exotec,2,17/01/2022,Hardware,Croix,France,Europe,2015,1,"Breega Capital, Iris Capital, 360 Capital Partners",7,2
Formlabs,2,01/08/2018,Hardware,Somerville,United States,North America,2011,0,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",7,0
Guoquan Shihui,2,17/03/2021,Consumer & retail,Shanghai,China,Asia,2017,1,"Tiantu Capital, CMB International Capital, Vision Knight Capital",4,2
Hive,2,21/04/2021,Artificial Intelligence,San Francisco,United States,North America,2013,0,"Tomales Bay Capital, Bain & Company, General Catalyst",8,0
HuiMin,2,05/09/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,1,"Zheshang Venture Capital, GP Capital, Western Capital Management",3,2
ISN,2,17/12/2020,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,0,Blackstone,19,0
Iterable,2,15/06/2021,Internet software & services,San Francisco,United States,North America,2013,0,"CRV, Blue Cloud Ventures, Index Ventures",8,0
Kajabi,2,04/05/2021,Internet software & services,Irvine,United States,North America,2010,1,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",11,2
Kaseya,2,27/03/2019,Cybersecurity,Miami,United States,North America,2000,1,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",19,2
Keep,2,19/05/2020,Mobile & telecommunications,Beijing,China,Asia,2014,1,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",6,2
KRY,2,27/04/2021,Health,Stockholm,Sweden,Europe,2014,1,"Index Ventures, Creandum, Accel",7,2
Loggi,2,05/06/2019,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,1,"Qualcomm Ventures, SoftBank Group, Monashees+",6,2
LTK,2,22/11/2021,Internet software & services,Dallas,United States,North America,2011,0,"SoftBank Group, Maverick Capital",10,0
Lunar,2,12/07/2021,Fintech,Aarhus,Denmark,Europe,2015,0,"SEED Capital, Greyhound Capital, Socii Capital",6,0
Mafengwo,2,23/05/2019,Travel,Beijing,China,Asia,2010,1,"Qiming Venture Partners, Capital Today, General Atlantic",9,2
Magic Leap,2,21/10/2014,Hardware,Plantation,United States,North America,2010,3,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",4,1
Misfits Market,2,21/04/2021,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,1,"Accel, D1 Capita Partners, Greenoaks Capital Management",3,2
Modern Treasury,2,06/10/2021,Fintech,San Francisco,United States,North America,2018,0,"Benchmark, Altimeter Capital, Quiet Capital",3,0
MURAL,2,20/07/2021,Internet software & services,San Francisco,United States,North America,2011,0,"Insight Partners, Tiger Global Management, Gradient Ventures",10,0
Mynt,2,01/11/2021,Fintech,Taguig City,Philippines,Asia,2015,1,"Insight Partners, Warburg Pincus, Ayala Corporation",6,2
Neo4j,2,17/06/2021,Data management & analytics,San Mateo,United States,North America,2007,0,"Eight Roads Ventures, One Peak Partners, Creandum",14,0
Netlify,2,17/11/2021,Internet software & services,San Francisco,United States,North America,2014,0,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",7,0
OCSiAl,2,04/03/2019,Other,Leudelange,Luxembourg,Europe,2012,0,"A&NN, Rusnano",7,0
Opay,2,23/08/2021,Fintech,Lagos,Nigeria,Africa,2018,1,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",3,2
Pipe,2,19/05/2021,Fintech,Miami,United States,North America,2019,1,"next47, MaC Venture Capital, FinVC",2,2
Preferred Networks,2,17/05/2018,Artificial Intelligence,Tokyo,Japan,Asia,2014,0,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",4,0
Quora,2,21/04/2017,Internet software & services,Mountain View,United States,North America,2009,0,"Y Combinator, Matrix Partners, Benchmark",8,0
Redis Labs,2,25/08/2020,Data management & analytics,Mountain View,United States,North America,2011,0,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",9,0
SmartNews,2,05/08/2019,Mobile & telecommunications,Tokyo,Japan,Asia,2012,0,"Japan Post Capital, Globis Capital Partners, Atomico",7,0
Spring Health,2,16/09/2021,Health,New York,United States,North America,2016,0,"Rethink Impact, Work-Bench, RRE Ventures",5,0
StarkWare,2,17/11/2021,Cybersecurity,Netanya,Israel,Asia,2018,0,"Sequoia Capital, Paradigm, Pantera Capital",3,0
SWORD Health,2,22/11/2021,Health,New York,United States,North America,2015,0,"Khosla Ventures, Green Innovations, Founders Fund",6,0
Tier,2,25/10/2021,Travel,Berlin,Germany,Europe,2018,1,"Northzone Ventures, White Star Capital, Novator Partners",3,2
Trendy Group International,2,13/02/2012,Consumer & retail,Kowloon,Hong Kong,Asia,1999,0,L Capital Partners,13,0
Unqork,2,06/10/2020,Fintech,New York,United States,North America,2017,0,"Blackrock, capitalG, World Lab Innovation",3,0
VerbIT,2,08/06/2021,Artificial Intelligence,New York,United States,North America,2016,0,"ClalTech, Vertex Ventures, Oryzn Capital",5,0
Virta Health,2,02/12/2020,Health,San Francisco,United States,North America,2015,0,"Caffeinated Capital, Obvious Ventures, Venrock",5,0
Xinchao Media,2,09/04/2018,Internet software & services,Chengdu,China,Asia,2007,1,"JD.com, Baidu, Vision Plus Capital",11,2
Xingyun Group,2,24/09/2020,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2015,1,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",5,2
